Id,cateId,picS,picB,name,describe,price,author,brand,publishDate,isPick
DYAD2O-A9006WRZI,DYAD2O,/pic/v1/data/item/201603/D/Y/A/D/2/O/sDYAD2O-A9006WRZI000_56f3a4268d84a.jpg,/pic/v1/data/item/201605/D/Y/A/D/2/O/DYAD2O-A9006WRZI000_57315273e9f06.jpg,SONY Xperia Z5(玫瑰石英粉),玫瑰粉▼送32G卡+行電+傳輸線+拭淨布+觸控筆▼SONY Xperia Z5(玫瑰石英粉),17900,,,,0
DGBJA7-19006Y7V6,DGBJA7,/pic/v1/data/item/201604/D/G/B/J/A/7/sDGBJA7-19006Y7V6000_570b6720292d4.jpg,/pic/v1/data/item/201604/D/G/B/J/A/7/DGBJA7-19006Y7V6000_570b67202777d.jpg,SONY PS4主機 CUH-1207B系列1TB(極致黑), 1T+AC雙頻高速無線分享器+直立架SONY PS4主機 CUH-1207B系列1TB(極致黑) ,13480,,,,0
DYAD2O-A9006J896,DYAD2O,/pic/v1/data/item/201509/D/Y/A/D/2/O/sDYAD2O-A9006J896000_560b9c5332e28.jpg,/pic/v1/data/item/201604/D/Y/A/D/2/O/DYAD2O-A9006J896000_56fdd8517f808.jpg,SONY Xperia Z5,▼送玻璃保貼+原廠吊飾+智鍵▼SONY Xperia Z5,16777,,,,0
DGCD05-A9006BAYN,DGCD1G,/pic/v1/data/item/201507/D/G/C/D/0/5/sDGCD05-A9006BAYN000_55b0805ac65d2.jpg,/pic/v1/data/item/201605/D/G/C/D/0/5/DGCD05-A9006BAYN000_572fefa3eb616.jpg,SONY MICRO VAULT 130M/s USB3.0 64GB OTG 隨身碟,SONY MICRO VAULT 130M/s USB3.0 64GB OTG 隨身碟黑/白二色可選,1099,,,,0
DGALTU-A9005GYKU,DYAD00,/pic/v1/data/item/201409/D/G/A/L/T/U/sDGALTU-A9005GYKU000_5423786cd7ea2.png,/pic/v1/data/item/201511/D/G/A/L/T/U/DGALTU-A9005GYKU000_56400027140e1.jpg,SONY Xperia Z3 (D6653),《送觸控筆+支架》SONY Xperia Z3 (D6653)  ,12890,,,,0
DGBV08-A90060BKI,DYAM1L,/pic/v1/data/item/201504/D/G/B/V/0/8/sDGBV08-A90060BKI000_5523bead6ce85.png,/pic/v1/data/item/201512/D/G/B/V/0/8/DGBV08-A90060BKI000_565fa259940c4.jpg,SONY Xperia  Z3 Tablet Compact 8吋四核防水平板(LTE版/16G/黑),★超值搶購 送保護貼★SONY Xperia  Z3 Tablet Compact 8吋四核防水平板(LTE版/16G/黑)  ,13490,,,,0
DGAD01-A90054RYV,DGAD01,/pic/v1/data/item/201405/D/G/A/D/0/1/sDGAD01-A90054RYV000_5375d3251963b.jpg,/pic/v1/data/item/201509/D/G/A/D/0/1/DGAD01-A90054RYV000_55ecef3cbfa3c.jpg,SONY DSC-RX100M3(公司貨),F1.8★32G原電組SONY DSC-RX100M3(公司貨),22980,,,,0
DGBJA8-A84325945,DGBJA8,/pic/v1/data/item/201403/D/G/B/J/A/8/sDGBJA8-A84325945000_53202e92827a1.png,/pic/v1/data/item/201403/D/G/B/J/A/8/DGBJA8-A84325945000_53202e9280092.png,SONY 無線立體聲耳罩耳機(CECHYA-0083),SONY  無線立體聲耳罩耳機CECHYA-0083(支援7.1聲道),2980,,,,0
DGAF3L-A9006PYCH,DGAF14,/pic/v1/data/item/201603/D/G/A/F/3/L/sDGAF3L-A9006PYCH000_56e6733db4ddd.jpg,/pic/v1/data/item/201512/D/G/A/F/3/L/DGAF3L-A9006PYCH000_567225a1a089c.jpg,SONY完美焦點錄音筆4GB ICD-UX560F,送8G記憶卡+USB充電器SONY完美焦點錄音筆4GB ICD-UX560F(公司貨),3990,,,,0
DGAD01-A82574565,DGAD01,/pic/v1/data/item/201401/D/G/A/D/0/1/sDGAD01-A82574565000_52cbac6ea0dc5,/pic/v1/data/item/201401/D/G/A/D/0/1/DGAD01-A82574565000_52cba4e3acb83,SONY DSC-W810高畫質數位相機(公司貨),原$2980★6倍光學SONY DSC-W810高畫質數位相機(公司貨),2680,,,,0
